V5, QFN-24-1EP_4x4mm_Pitch0.5mm, 58.911844, 22.435487, 174.604349, Front
V5, QFN-24-1EP_4x4mm_Pitch0.5mm, 63.831277, 65.710047, 172.69648, Front
V5, QFN-24-1EP_4x4mm_Pitch0.5mm, 69.570725, 105.913582, 171.198458, Front
V5, QFN-24-1EP_4x4mm_Pitch0.5mm, 76.42445, 146.566656, 169.915985, Front
V5, QFN-24-1EP_4x4mm_Pitch0.5mm, 84.875662, 191.016997, 168.709349, Front
V5, QFN-24-1EP_4x4mm_Pitch0.5mm, 93.923014, 234.111205, 167.687929, Front
V5, QFN-24-1EP_4x4mm_Pitch0.5mm, 103.321292, 275.43722, 166.797644, Front
V5, QFN-24-1EP_4x4mm_Pitch0.5mm, 112.833359, 314.579996, 165.994882, Front
V5, QFN-24-1EP_4x4mm_Pitch0.5mm, 122.68542, 352.832047, 165.206248, Front
V5, QFN-24-1EP_4x4mm_Pitch0.5mm, 133.753683, 393.598068, 164.57061, Front
V5, QFN-24-1EP_4x4mm_Pitch0.5mm, 144.065545, 434.640298, 167.01975, Front
V5, QFN-24-1EP_4x4mm_Pitch0.5mm, 150.740949, 478.329021, 175.160589, Front
V5, QFN-24-1EP_4x4mm_Pitch0.5mm, 149.287546, 520.722497, 187.107474, Front
V5, QFN-24-1EP_4x4mm_Pitch0.5mm, 150.394509, 554.617608, 167.864748, Front
V5, QFN-24-1EP_4x4mm_Pitch0.5mm, 168.618097, 580.520725, 133.437854, Front
V5, QFN-24-1EP_4x4mm_Pitch0.5mm, 201.081377, 609.403857, 131.052724, Front
V5, QFN-24-1EP_4x4mm_Pitch0.5mm, 226.819349, 650.337625, 163.870893, Front
V5, QFN-24-1EP_4x4mm_Pitch0.5mm, 218.031969, 701.168291, 204.579426, Front
V5, QFN-24-1EP_4x4mm_Pitch0.5mm, 218.657121, 727.920779, 159.600522, Front
