V5, CUT_POINT, 75.63678, 39.496931, 83.614704, Front
V5, CUT_POINT, 80.938346, 82.148068, 81.868331, Front
V5, CUT_POINT, 86.624617, 119.778735, 80.570323, Front
V5, CUT_POINT, 94.235891, 163.440499, 79.284545, Front
V5, CUT_POINT, 102.883641, 207.54101, 78.167637, Front
V5, CUT_POINT, 111.840938, 249.23869, 77.226582, Front
V5, CUT_POINT, 121.041072, 289.060017, 76.393089, Front
V5, CUT_POINT, 130.668969, 328.206358, 75.592516, Front
V5, CUT_POINT, 140.688447, 366.656743, 74.750738, Front
V5, CUT_POINT, 151.739719, 406.857521, 75.170647, Front
V5, CUT_POINT, 162.680803, 451.575995, 80.188534, Front
V5, CUT_POINT, 167.124158, 497.193198, 91.393087, Front
V5, CUT_POINT, 161.515321, 540.628366, 99.178411, Front
V5, CUT_POINT, 162.45838, 557.387146, 52.370621, Front
V5, CUT_POINT, 183.518123, 591.785334, 39.74462, Front
V5, CUT_POINT, 217.064448, 620.983574, 46.311166, Front
V5, CUT_POINT, 237.388918, 684.376093, 115.343095, Front
V5, CUT_POINT, 228.453657, 713.975244, 95.153501, Front
