V5, C_0603, 28.826025, 28.826025, 174.604349, Front
V5, C_0603, 18.453652, 18.453652, 174.604349, Front
V5, C_0603, 18.293797, 18.293797, 174.604349, Front
V5, C_0603, 72.181031, 72.181031, 172.69648, Front
V5, C_0603, 61.875867, 61.875867, 172.69648, Front
V5, C_0603, 61.659754, 61.659754, 172.69648, Front
V5, C_0603, 112.442707, 112.442707, 171.198458, Front
V5, C_0603, 102.198326, 102.198326, 171.198458, Front
V5, C_0603, 101.938205, 101.938205, 171.198458, Front
V5, C_0603, 153.142012, 153.142012, 169.915985, Front
V5, C_0603, 142.955232, 142.955232, 169.915985, Front
V5, C_0603, 142.657575, 142.657575, 169.915985, Front
V5, C_0603, 197.632842, 197.632842, 168.709349, Front
V5, C_0603, 187.504918, 187.504918, 168.709349, Front
V5, C_0603, 187.172081, 187.172081, 168.709349, Front
V5, C_0603, 240.759032, 240.759032, 167.687929, Front
V5, C_0603, 230.684441, 230.684441, 167.687929, Front
V5, C_0603, 230.321939, 230.321939, 167.687929, Front
V5, C_0603, 282.1112, 282.1112, 166.797644, Front
V5, C_0603, 272.085707, 272.085707, 166.797644, Front
V5, C_0603, 271.697442, 271.697442, 166.797644, Front
V5, C_0603, 321.276177, 321.276177, 165.994882, Front
V5, C_0603, 311.297031, 311.297031, 165.994882, Front
V5, C_0603, 310.885617, 310.885617, 165.994882, Front
V5, C_0603, 359.548758, 359.548758, 165.206248, Front
V5, C_0603, 349.617051, 349.617051, 165.206248, Front
V5, C_0603, 349.182972, 349.182972, 165.206248, Front
V5, C_0603, 400.330399, 400.330399, 164.57061, Front
V5, C_0603, 390.438298, 390.438298, 164.57061, Front
V5, C_0603, 389.986012, 389.986012, 164.57061, Front
V5, C_0603, 441.307904, 441.307904, 167.01975, Front
V5, C_0603, 431.269936, 431.269936, 167.01975, Front
V5, C_0603, 430.88809, 430.88809, 167.01975, Front
V5, C_0603, 484.694767, 484.694767, 175.160589, Front
V5, C_0603, 474.304962, 474.304962, 175.160589, Front
V5, C_0603, 474.161544, 474.161544, 175.160589, Front
V5, C_0603, 526.415319, 526.415319, 187.107474, Front
V5, C_0603, 515.889285, 515.889285, 187.107474, Front
V5, C_0603, 516.099628, 516.099628, 187.107474, Front
V5, C_0603, 561.26005, 561.26005, 167.864748, Front
V5, C_0603, 551.175996, 551.175996, 167.864748, Front
V5, C_0603, 550.818622, 550.818622, 167.864748, Front
V5, C_0603, 586.992125, 586.992125, 133.437854, Front
V5, C_0603, 580.398947, 580.398947, 133.437854, Front
V5, C_0603, 579.164542, 579.164542, 133.437854, Front
V5, C_0603, 615.773624, 615.773624, 131.052724, Front
V5, C_0603, 609.528131, 609.528131, 131.052724, Front
V5, C_0603, 608.246152, 608.246152, 131.052724, Front
V5, C_0603, 657.086195, 657.086195, 163.870893, Front
V5, C_0603, 647.239099, 647.239099, 163.870893, Front
V5, C_0603, 646.766834, 646.766834, 163.870893, Front
V5, C_0603, 705.44362, 705.44362, 204.579426, Front
V5, C_0603, 695.536311, 695.536311, 204.579426, Front
V5, C_0603, 696.243434, 696.243434, 204.579426, Front
V5, C_0603, 734.746554, 734.746554, 159.600522, Front
V5, C_0603, 725.205696, 725.205696, 159.600522, Front
V5, C_0603, 724.613138, 724.613138, 159.600522, Front
